祭祀
祈福
求嗣
开光
解除
伐木
拆卸
修造
栽种
纳畜
安葬
修坟
立碑
沐浴
扫舍
捕捉
畋猎
塞穴
嫁娶
挂匾
理发
入学
牧养
动土
移徙
入宅
出行
交易
立券
破土
开市
移柩
上梁
启攒
冠笄
订盟
起基
放水
造桥
入殓
结网
除服
成服
作厕
开池
架马
出火
安床
坏垣
作梁
裁衣
斋醮
安门
作灶
筑堤
补垣
治病
求医
置产
针灸
合脊
纳采
纳财
割蜜
破屋
塑绘
赴任
经络
合帐
竖柱
谢土
安香
掘井
雕刻
造庙
断蚁
开柱眼
安碓硙
开生坟
进人口
教牛马
安机械
会亲友
平治道涂
余事勿取
诸事不宜
修饰垣墙
造畜椆栖
整手足甲
